"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"28","2020-12-01","internetbasiert","Coronakrise: RKI-Präsident Wieler sieht regionale Unterschiede bei Corona-Infektionen. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/deutschland/coronakrise-rki-praesident-wieler-sieht-regionale-unterschiede-bei-corona-infektionen/25783234.html","Wieler rief die Bürger auf , weiter so weit wie möglich","zuhause","zu bleiben , sich an die Kontaktbeschränkungen zu halten , regelmäßig die Hände zu waschen , mindestens eineinhalb Meter Abstand zu halten und wo das schwer möglich sei , einen Nase-Mund-Schutz zu tragen ."
"29","2020-12-01","internetbasiert","Coronavirus: China vermeldet erstmals keine Neuinfizierten in Wuhan. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/coronavirus-china-vermeldet-erstmals-keine-neuinfizierten-in-wuhan/25661090.html","Je nach Provinz und Stadt müssen sie diese Zeit in umfunktionierten Hotels oder anderen zentralen Quarantäne-Einrichtungen verbringen , in Ausnahmefällen ist bislang aber auch eine Quarantäne","zuhause","möglich ."
"30","2020-12-01","internetbasiert","Weltgeschichte: Korea und das Coronavirus – Leben und Arbeiten im Zeichen der Alarmstufe Rot. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/weltgeschichten/koelling/weltgeschichte-korea-und-das-coronavirus-leben-und-arbeiten-im-zeichen-der-alarmstufe-rot/25582940.html","Auch die U-Bahnen sind leerer als sonst , weil viele Unternehmen Büropersonal von","zuhause","arbeiten lassen und der Rest der Bevölkerung zum Wohle der nationalen Gesundheit nicht notwendige Reisen , Restaurant- und Kinobesuche sowie Einkaufsbummel unterlässt ."
"31","2020-12-01","internetbasiert","Weltgeschichte: Korea und das Coronavirus – Leben und Arbeiten im Zeichen der Alarmstufe Rot. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/weltgeschichten/koelling/weltgeschichte-korea-und-das-coronavirus-leben-und-arbeiten-im-zeichen-der-alarmstufe-rot/25582940.html","Das Büro ist so gut wie ausgestorben , weil die Mitarbeiter von","zuhause","aus arbeiten – und auch die Chefin ."
"32","2020-12-01","internetbasiert","Corona in Deutschland: Das suchen die Deutschen aktuell bei Amazon. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/corona-in-deutschland-das-suchen-die-deutschen-aktuell-bei-amazon/25703784.html","Durch diese Gadgets lässt sich das Homeoffice und die allgemeine Zeit","zuhause","angenehmer gestalten , da man sich auf die Video- und Telefonkonferenzen konzentrieren und mit den Kollegen und Kolleginnen angenehmer kommunizieren kann oder man sich in den eigenen vier Wänden abkapseln kann ."
"33","2020-12-01","internetbasiert","Corona in Deutschland: Das suchen die Deutschen aktuell bei Amazon. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/corona-in-deutschland-das-suchen-die-deutschen-aktuell-bei-amazon/25703784.html","Viele Menschen scheinen für die Stunden","zuhause","auf altbekannte Klassiker zurückzugreifen ."
"34","2020-12-01","internetbasiert","Kommentar: Die Coronakrise ist auch eine Chance für Unternehmen – und Aktionäre. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/meinung/kommentare/kommentar-die-coronakrise-ist-auch-eine-chance-fuer-unternehmen-und-aktionaere/25918148.html","Wenn sich die Menschen mehr","zuhause","aufhalten , dann testen sie womöglich gerne das Angebot des Kochboxen-Lieferanten Hello Fresh ."
"35","2020-12-01","internetbasiert","Justin und Sophie Grégoire Trudeau: Ehefrau erkrankt: Kanadas Premier in Corona-Quarantäne. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/justin-und-sophie-gregoire-trudeau-ehefrau-erkrankt-kanadas-premier-in-corona-quarantaene/25642106.html","Trudeau will zudem von","zuhause","aus Kontakt mit anderen Regierungschefs halten und den Beratungen eines speziell eingerichteten Kabinettsausschusses zum Kampf gegen den Corona-Virus teilnehmen ."
"36","2020-12-01","internetbasiert","Großbritannien: Johnson: Militäreinsatz zur Kontrolle von Corona-Regeln möglich. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/grossbritannien-johnson-militaereinsatz-zur-kontrolle-von-corona-regeln-moeglich/26207330.html","Außerdem forderte Johnson Arbeitnehmer wieder auf , wenn möglich von","zuhause","zu arbeiten – eine Kehrtwende , nachdem er wochenlang eine große „ Back to Office “ -Kampagne ( „ Zurück ins Büro “ ) propagiert hatte ."
"37","2020-12-01","internetbasiert","Elektroautobauer: Elon Musk lässt Tesla-Produktion trotz Corona-Verbot wieder anlaufen. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/industrie/elektroautobauer-elon-musk-laesst-tesla-produktion-trotz-corona-verbot-wieder-anlaufen/25820998.html","Zugleich erklärte Tesla , Arbeiter , die Angst vor einer Ansteckung hätten , dürften","zuhause","bleiben ."
"38","2020-12-01","internetbasiert","BMW, Vodafone, Pro Sieben: Das Coronavirus lähmt immer mehr deutsche Unternehmen. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/management/bmw-vodafone-pro-sieben-das-coronavirus-laehmt-immer-mehr-deutsche-unternehmen/25600476.html","Das Unternehmen hat veranlasst , dass die betroffenen Mitarbeiter vorerst von","zuhause","arbeiten ."
"39","2020-12-01","internetbasiert","Coronakrise: Möbelindustrie rechnet mit zehn Prozent weniger Umsatz 2020. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/coronakrise-moebelindustrie-rechnet-mit-zehn-prozent-weniger-umsatz-2020/25980436.html","„ Die Menschen haben viel mehr Zeit","zuhause","verbracht und viel mehr zuhause gekocht “ , sagte Küchen-Experte Volker Irle ."
"40","2020-12-01","internetbasiert","Coronakrise: Möbelindustrie rechnet mit zehn Prozent weniger Umsatz 2020. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/handel-konsumgueter/coronakrise-moebelindustrie-rechnet-mit-zehn-prozent-weniger-umsatz-2020/25980436.html","„ Die Menschen haben viel mehr Zeit zuhause verbracht und viel mehr","zuhause","gekocht “ , sagte Küchen-Experte Volker Irle ."
"41","2020-12-01","internetbasiert","Netflix und Co.: Stay-at-home-Aktien: Diese Unternehmen profitieren von den Folgen des Coronavirus. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/finanzen/maerkte/aktien/netflix-und-co-stay-at-home-aktien-diese-unternehmen-profitieren-von-den-folgen-des-coronavirus/25599034.html","„ Was würden Menschen tun , wenn sie den ganzen Tag","zuhause","eingesperrt sind ? “"
"42","2020-12-01","internetbasiert","In eigener Sache: Kommen Sie mit uns ins Gespräch: Strategien für die Coronakrise. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/it-medien/in-eigener-sache-kommen-sie-mit-uns-ins-gespraech-strategien-fuer-die-coronakrise/25660912.html","Mehr :Bleibt","zuhause","und bewahrt Ruhe ! –"
"43","2020-12-01","internetbasiert","Kontaktpersonen identifizieren: Wie die Corona-App aussehen könnte. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/deutschland/kontaktpersonen-identifizieren-wie-die-corona-app-aussehen-koennte/25700790.html","Am Dienstag betonte er allerdings in Düsseldorf , es gehe darum , die Kontakte von Infizierten „ sehr , sehr schnell “ zu identifizieren und diese Menschen aufzufordern ,","zuhause","zu bleiben ."
"44","2020-12-01","internetbasiert","Coronavirus: Japan macht erste Schritte zurück zum Alltag: „Sollten uns auf langen Kampf einstellen“. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/coronavirus-japan-macht-erste-schritte-zurueck-zum-alltag-sollten-uns-auf-langen-kampf-einstellen/25664704.html","Aber auch sie leiden unter Besucherschwund , da viele Menschen","zuhause","bleiben und es gleichzeitig kaum mehr Touristen gibt ."
